,closePrize,close_x,normalDistribution,numberOfDev,percent_change,security_name,date_x,ticker_x,year_x,month,day_x,primary_security_ticker,end_date,fiscal_period,cashdividendspershare,year_y,day_y,ticker_y,date_y,adj_close,close_y,year,day
76,48.8084,197.92,0.0,0.0,-0.0091,Apple Inc,2019-06-28,AAPL,2019,6,28,AAPL,2021-06-26,Q3,0.22,2021.0,26.0,,,,,,
77,48.8084,197.92,0.0,0.0,-0.0091,Apple Inc,2019-06-28,AAPL,2019,6,28,AAPL,2020-06-27,Q3,0.82,2020.0,27.0,,,,,,
78,48.8084,197.92,0.0,0.0,-0.0091,Apple Inc,2019-06-28,AAPL,2019,6,28,AAPL,2019-06-29,Q3,0.77,2019.0,29.0,,,,,,
79,48.8084,197.92,0.0,0.0,-0.0091,Apple Inc,2019-06-28,AAPL,2019,6,28,AAPL,2018-06-30,Q3,0.73,2018.0,30.0,,,,,,
80,48.8084,197.92,0.0,0.0,-0.0091,Apple Inc,2019-06-28,AAPL,2019,6,28,AAPL,2016-06-25,Q3,0.57,2016.0,25.0,,,,,,
81,44.965,185.11,0.0,0.0,-0.0021,Apple Inc,2018-06-29,AAPL,2018,6,29,AAPL,2021-06-26,Q3,0.22,2021.0,26.0,,,,,,
82,44.965,185.11,0.0,0.0,-0.0021,Apple Inc,2018-06-29,AAPL,2018,6,29,AAPL,2020-06-27,Q3,0.82,2020.0,27.0,,,,,,
83,44.965,185.11,0.0,0.0,-0.0021,Apple Inc,2018-06-29,AAPL,2018,6,29,AAPL,2019-06-29,Q3,0.77,2019.0,29.0,,,,,,
84,44.965,185.11,0.0,0.0,-0.0021,Apple Inc,2018-06-29,AAPL,2018,6,29,AAPL,2018-06-30,Q3,0.73,2018.0,30.0,,,,,,
85,44.965,185.11,0.0,0.0,-0.0021,Apple Inc,2018-06-29,AAPL,2018,6,29,AAPL,2016-06-25,Q3,0.57,2016.0,25.0,,,,,,
86,34.4483,144.02,0.0,0.0,0.0024,Apple Inc,2017-06-30,AAPL,2017,6,30,AAPL,2021-06-26,Q3,0.22,2021.0,26.0,,,,,,
87,34.4483,144.02,0.0,0.0,0.0024,Apple Inc,2017-06-30,AAPL,2017,6,30,AAPL,2020-06-27,Q3,0.82,2020.0,27.0,,,,,,
88,34.4483,144.02,0.0,0.0,0.0024,Apple Inc,2017-06-30,AAPL,2017,6,30,AAPL,2019-06-29,Q3,0.77,2019.0,29.0,,,,,,
89,34.4483,144.02,0.0,0.0,0.0024,Apple Inc,2017-06-30,AAPL,2017,6,30,AAPL,2018-06-30,Q3,0.73,2018.0,30.0,,,,,,
90,34.4483,144.02,0.0,0.0,0.0024,Apple Inc,2017-06-30,AAPL,2017,6,30,AAPL,2016-06-25,Q3,0.57,2016.0,25.0,,,,,,
91,22.437,95.6,0.0,0.0,0.0127,Apple Inc,2016-06-30,AAPL,2016,6,30,AAPL,2021-06-26,Q3,0.22,2021.0,26.0,,,,,,
92,22.437,95.6,0.0,0.0,0.0127,Apple Inc,2016-06-30,AAPL,2016,6,30,AAPL,2020-06-27,Q3,0.82,2020.0,27.0,,,,,,
93,22.437,95.6,0.0,0.0,0.0127,Apple Inc,2016-06-30,AAPL,2016,6,30,AAPL,2019-06-29,Q3,0.77,2019.0,29.0,,,,,,
94,22.437,95.6,0.0,0.0,0.0127,Apple Inc,2016-06-30,AAPL,2016,6,30,AAPL,2018-06-30,Q3,0.73,2018.0,30.0,,,,,,
95,22.437,95.6,0.0,0.0,0.0127,Apple Inc,2016-06-30,AAPL,2016,6,30,AAPL,2016-06-25,Q3,0.57,2016.0,25.0,,,,,,
96,79.3419,317.94,0.0,0.0,-0.001,Apple Inc,2020-05-29,AAPL,2020,5,29,,,,,,,,,,,,
97,43.1735,175.07,0.0,0.0,-0.0181,Apple Inc,2019-05-31,AAPL,2019,5,31,,,,,,,,,,,,
98,45.3925,186.87,0.0,0.0,-0.0034,Apple Inc,2018-05-31,AAPL,2018,5,31,,,,,,,,,,,,
99,36.5388,152.76,0.0,0.0,-0.0059,Apple Inc,2017-05-31,AAPL,2017,5,31,,,,,,,,,,,,
100,23.4368,99.86,0.0,0.0,-0.0049,Apple Inc,2016-05-31,AAPL,2016,5,31,,,,,,,,,,,,
101,73.1199,293.8,0.0,0.0,0.0211,Apple Inc,2020-04-30,AAPL,2020,4,30,AAPL,2017-04-01,Q2,0.57,2017.0,1.0,,,,,,
102,49.2968,200.67,0.0,0.0,-0.0193,Apple Inc,2019-04-30,AAPL,2019,4,30,AAPL,2017-04-01,Q2,0.57,2017.0,1.0,,,,,,
103,39.989,165.26,0.0,0.0,0.0181,Apple Inc,2018-04-30,AAPL,2018,4,30,AAPL,2017-04-01,Q2,0.57,2017.0,1.0,,,,,,
104,34.2186,143.65,0.0,0.0,-0.001,Apple Inc,2017-04-28,AAPL,2017,4,28,AAPL,2017-04-01,Q2,0.57,2017.0,1.0,,,,,,
105,21.8673,93.74,0.0,0.0,-0.0115,Apple Inc,2016-04-29,AAPL,2016,4,29,AAPL,2017-04-01,Q2,0.57,2017.0,1.0,,,,,,
106,63.2868,254.29,0.0,0.0,-0.002,Apple Inc,2020-03-31,AAPL,2020,3,31,AAPL,2021-03-27,Q2,0.205,2021.0,27.0,,,,,,
107,63.2868,254.29,0.0,0.0,-0.002,Apple Inc,2020-03-31,AAPL,2020,3,31,AAPL,2020-03-28,Q2,0.77,2020.0,28.0,,,,,,
108,63.2868,254.29,0.0,0.0,-0.002,Apple Inc,2020-03-31,AAPL,2020,3,31,AAPL,2019-03-30,Q2,0.73,2019.0,30.0,,,,,,
109,63.2868,254.29,0.0,0.0,-0.002,Apple Inc,2020-03-31,AAPL,2020,3,31,AAPL,2018-03-31,Q2,0.63,2018.0,31.0,,,,,,
110,63.2868,254.29,0.0,0.0,-0.002,Apple Inc,2020-03-31,AAPL,2020,3,31,AAPL,2016-03-26,Q2,0.52,2016.0,26.0,,,,,,
111,46.6633,189.95,0.0,0.0,0.0065,Apple Inc,2019-03-29,AAPL,2019,3,29,AAPL,2021-03-27,Q2,0.205,2021.0,27.0,,,,,,
112,46.6633,189.95,0.0,0.0,0.0065,Apple Inc,2019-03-29,AAPL,2019,3,29,AAPL,2020-03-28,Q2,0.77,2020.0,28.0,,,,,,
113,46.6633,189.95,0.0,0.0,0.0065,Apple Inc,2019-03-29,AAPL,2019,3,29,AAPL,2019-03-30,Q2,0.73,2019.0,30.0,,,,,,
114,46.6633,189.95,0.0,0.0,0.0065,Apple Inc,2019-03-29,AAPL,2019,3,29,AAPL,2018-03-31,Q2,0.63,2018.0,31.0,,,,,,
115,46.6633,189.95,0.0,0.0,0.0065,Apple Inc,2019-03-29,AAPL,2019,3,29,AAPL,2016-03-26,Q2,0.52,2016.0,26.0,,,,,,
116,40.5988,167.78,0.0,0.0,0.0078,Apple Inc,2018-03-29,AAPL,2018,3,29,AAPL,2021-03-27,Q2,0.205,2021.0,27.0,,,,,,
117,40.5988,167.78,0.0,0.0,0.0078,Apple Inc,2018-03-29,AAPL,2018,3,29,AAPL,2020-03-28,Q2,0.77,2020.0,28.0,,,,,,
118,40.5988,167.78,0.0,0.0,0.0078,Apple Inc,2018-03-29,AAPL,2018,3,29,AAPL,2019-03-30,Q2,0.73,2019.0,30.0,,,,,,
119,40.5988,167.78,0.0,0.0,0.0078,Apple Inc,2018-03-29,AAPL,2018,3,29,AAPL,2018-03-31,Q2,0.63,2018.0,31.0,,,,,,
120,40.5988,167.78,0.0,0.0,0.0078,Apple Inc,2018-03-29,AAPL,2018,3,29,AAPL,2016-03-26,Q2,0.52,2016.0,26.0,,,,,,
121,34.221,143.66,0.0,0.0,-0.0019,Apple Inc,2017-03-31,AAPL,2017,3,31,AAPL,2021-03-27,Q2,0.205,2021.0,27.0,,,,,,
122,34.221,143.66,0.0,0.0,-0.0019,Apple Inc,2017-03-31,AAPL,2017,3,31,AAPL,2020-03-28,Q2,0.77,2020.0,28.0,,,,,,
123,34.221,143.66,0.0,0.0,-0.0019,Apple Inc,2017-03-31,AAPL,2017,3,31,AAPL,2019-03-30,Q2,0.73,2019.0,30.0,,,,,,
124,34.221,143.66,0.0,0.0,-0.0019,Apple Inc,2017-03-31,AAPL,2017,3,31,AAPL,2018-03-31,Q2,0.63,2018.0,31.0,,,,,,
125,34.221,143.66,0.0,0.0,-0.0019,Apple Inc,2017-03-31,AAPL,2017,3,31,AAPL,2016-03-26,Q2,0.52,2016.0,26.0,,,,,,
126,25.4248,108.99,0.0,0.0,-0.0052,Apple Inc,2016-03-31,AAPL,2016,3,31,AAPL,2021-03-27,Q2,0.205,2021.0,27.0,,,,,,
127,25.4248,108.99,0.0,0.0,-0.0052,Apple Inc,2016-03-31,AAPL,2016,3,31,AAPL,2020-03-28,Q2,0.77,2020.0,28.0,,,,,,
128,25.4248,108.99,0.0,0.0,-0.0052,Apple Inc,2016-03-31,AAPL,2016,3,31,AAPL,2019-03-30,Q2,0.73,2019.0,30.0,,,,,,
129,25.4248,108.99,0.0,0.0,-0.0052,Apple Inc,2016-03-31,AAPL,2016,3,31,AAPL,2018-03-31,Q2,0.63,2018.0,31.0,,,,,,
130,25.4248,108.99,0.0,0.0,-0.0052,Apple Inc,2016-03-31,AAPL,2016,3,31,AAPL,2016-03-26,Q2,0.52,2016.0,26.0,,,,,,
131,68.0328,273.36,0.0,0.0,-0.0006,Apple Inc,2020-02-28,AAPL,2020,2,28,,,,,,,,,,,,
132,42.5362,173.15,0.0,0.0,-0.0098,Apple Inc,2019-02-28,AAPL,2019,2,28,,,,,,,,,,,,
133,43.1008,178.12,0.0,0.0,-0.0015,Apple Inc,2018-02-28,AAPL,2018,2,28,,,,,,,,,,,,
134,32.6321,136.99,0.0,0.0,0.0004,Apple Inc,2017-02-28,AAPL,2017,2,28,,,,,,,,,,,,
135,22.5555,96.69,0.0,0.0,-0.0023,Apple Inc,2016-02-29,AAPL,2016,2,29,,,,,,,,,,,,
136,76.8473,309.51,0.0,0.0,-0.0443,Apple Inc,2020-01-31,AAPL,2020,1,31,,,,,,,,,,,,
137,40.7132,166.44,0.0,0.0,0.0072,Apple Inc,2019-01-31,AAPL,2019,1,31,,,,,,,,,,,,
138,40.3496,167.43,0.0,0.0,0.0028,Apple Inc,2018-01-31,AAPL,2018,1,31,,,,,,,,,,,,
139,28.7817,121.35,0.0,0.0,-0.0023,Apple Inc,2017-01-31,AAPL,2017,1,31,,,,,,,,,,,,
140,22.5846,97.34,0.0,0.0,0.0345,Apple Inc,2016-01-29,AAPL,2016,1,29,,,,,,,,,,,,
